n 1024 2048 4096 
2	1	1	1
4	1.734465176	1.829439552	1.788145319	
6	2.374888814	2.59712694	2.572416013	
8	3.146464039	3.341893856	3.368604074	
10	3.898825355	4.110335926	4.222379103	
12	4.338687177	4.639518058	4.8652684	
